GENESIS-Tabelle: 31211-09-01-5-B
Wohnungen in Gebäuden mit Wohnraum nach Anzahl der;;;;;;;;;
Räume - Stichtag 09.05.2011;;;;;;;;;
regionale Ebenen;;;;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;;;;
Stichtag: 09.05.2011;;;;;;;;;
;;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum
;;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume
;;Insgesamt;1 Raum;2 Räume;3 Räume;4 Räume;5 Räume;6 Räume;7 und mehr Räume
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
06636002;Berkatal;790;7;9;72;138;151;149;264
06636003;Eschwege;10613;153;783;2365;2843;1664;1188;1617
06636004;Großalmerode;3354;9;144;435;815;736;560;655
06636005;Herleshausen;1306;3;40;129;232;308;233;361
06636006;Hessisch Lichtenau;5981;50;314;944;1385;1166;920;1202
06636007;Meinhard;2463;24;61;253;494;503;414;714
06636008;Meißner;1588;3;10;144;324;373;307;427
06636009;Neu-Eichenberg;919;6;28;126;203;183;156;217
06636010;Ringgau;1441;6;28;112;244;278;288;482
06636011;Sontra;3868;17;326;433;814;773;595;910
06636012;Waldkappel;2256;-;41;253;520;463;374;605
06636013;Wanfried;2212;9;100;308;512;411;362;510
06636014;Wehretal;2419;3;49;222;542;543;478;582
06636015;Weißenborn b Eschwege;532;13;13;50;95;95;86;180
06636016;Witzenhausen;7541;175;399;1201;1761;1447;1125;1433
06636200;Gutsbezirk Kaufunger Wald;-;-;-;-;-;-;-;-
07111000;Koblenz, krsfr. Stadt;60034;1951;5923;15296;17246;9455;4676;5484
0713100007;Bad Neuenahr-Ahrweiler, verbandsfr. Gemeinde;15514;532;1539;3633;4222;2286;1632;1670
0713100070;Remagen, verbandsfr. Gemeinde;8086;171;708;1545;1925;1468;1030;1239
0713100077;Sinzig, verbandsfr. Gemeinde;8225;119;676;1555;1829;1546;1195;1305
0713100090;Grafschaft, verbandsfr. Gemeinde;4868;59;205;568;932;1080;921;1103
0713101;Adenau, Verbandsgem.;7070;47;269;910;1374;1349;1339;1782
0713101001;Adenau;1624;28;80;306;416;272;222;300
0713101004;Antweiler;292;-;7;27;58;43;70;87
0713101005;Aremberg;148;-;13;16;24;25;28;42
0713101008;Barweiler;221;-;6;26;42;40;35;72
0713101009;Bauler b Barweiler;34;-;-;6;7;8;10;3
0713101015;Dankerath;39;-;-;-;0;14;9;16
0713101018;Dorsel;118;-;6;15;16;16;26;39
0713101021;Eichenbach;60;-;4;13;15;6;9;13
0713101022;Fuchshofen;58;-;3;7;20;7;12;9
0713101026;Harscheid;76;-;3;12;24;21;10;6
0713101028;Herschbroich;115;-;3;7;15;16;29;45
0713101030;Hoffeld, Eifel;159;-;-;3;30;44;50;32
0713101032;Honerath;82;-;-;17;6;16;12;31
0713101033;Hümmel;231;-;3;9;17;60;47;95
0713101034;Insul;218;-;4;15;63;43;45;48
0713101037;Kaltenborn;206;-;6;21;46;24;47;62
0713101042;Kottenborn;89;-;12;6;19;23;13;16
0713101044;Leimbach b Adenau;249;-;-;30;47;65;48;59
0713101050;Meuspath;104;-;9;22;15;12;15;31
0713101051;Müllenbach b Adenau;216;-;-;12;28;49;64;63
0713101052;Müsch;109;-;-;15;25;18;21;30
0713101058;Nürburg;103;3;16;18;15;15;6;30
0713101062;Ohlenhard;81;-;-;11;11;3;16;40
0713101065;Pomster;86;-;-;13;6;31;13;23
0713101066;Quiddelbach;127;-;-;10;14;34;22;47
0713101069;Reifferscheid;264;3;3;34;20;59;51;94
0713101072;Rodder;111;-;6;9;13;9;30;44
0713101074;Schuld;362;-;6;48;64;81;63;100
0713101075;Senscheid;44;-;-;7;6;3;9;19
0713101076;Sierscheid;54;-;-;12;15;12;6;9
0713101079;Trierscheid;30;-;-;-;9;6;3;12
0713101082;Wershofen;450;7;13;32;101;76;122;99
0713101083;Wiesemscheid;135;-;3;20;26;34;20;32
0713101084;Wimbach;245;3;19;27;49;69;43;35
0713101085;Winnerath;109;3;12;12;22;15;20;25
0713101086;Wirft;72;-;3;6;19;20;9;15
0713101501;Dümpelfeld;349;-;29;66;51;60;84;59
0713102;Altenahr, Verbandsgem.;5561;48;239;698;989;1283;1044;1260
0713102002;Ahrbrück;564;3;12;70;104;158;102;115
0713102003;Altenahr;890;10;30;135;159;194;162;200
0713102011;Berg, Kr Ahrweiler;624;-;22;62;125;131;134;150
0713102017;Dernau;878;16;42;130;136;198;149;207
0713102027;Heckenbach;149;-;13;31;32;22;12;39
0713102029;Hönningen;501;-;19;46;67;129;105;135
0713102036;Kalenborn, Kr Ahrweiler;301;-;24;32;51;72;77;45
0713102039;Kesseling;321;-;9;23;59;69;78;83
0713102040;Kirchsahr;244;6;22;48;48;58;16;46
0713102047;Lind, Kr Ahrweiler;283;-;3;21;31;95;46;87
0713102049;Mayschoß;492;-;18;66;129;89;97;93
0713102068;Rech;314;13;25;34;48;68;66;60
0713103;Bad Breisig, Verbandsgem.;6965;182;559;1455;1716;1207;790;1056
0713103006;Bad Breisig;5085;175;520;1254;1325;807;412;592
0713103014;Brohl-Lützing;1186;-;29;151;269;226;232;279
0713103025;Gönnersdorf, Kr Ahrweiler;294;-;10;19;37;90;58;80
0713103081;Waldorf;400;7;0;31;85;84;88;105
0713104;Brohltal, Verbandsgem.;8649;62;311;946;1490;1861;1877;2102
0713104016;Dedenbach;224;-;13;21;26;69;50;45
0713104041;Königsfeld, Eifel;321;-;26;58;53;50;69;65
0713104054;Niederdürenbach;452;-;10;54;94;109;88;97
0713104055;Niederzissen;1269;6;35;143;237;310;231;307
0713104059;Oberdürenbach;332;3;26;46;29;72;87;69
0713104060;Oberzissen;515;-;16;69;110;94;104;122
0713104073;Schalkenbach;419;3;31;48;80;84;97;76
0713104201;Brenk;86;-;3;7;13;25;23;15
0713104202;Burgbrohl;1526;18;55;175;259;314;332;373
0713104204;Galenberg;82;-;-;3;11;20;19;29
0713104205;Glees;254;3;-;25;54;39;51;82
0713104206;Hohenleimbach;157;3;7;18;31;21;21;56
0713104208;Spessart;341;6;3;27;74;98;73;60
0713104209;Wassenach;549;-;19;42;87;126;136;139
0713104210;Wehr, Eifel;534;4;6;50;85;129;121;139
0713104211;Weibern;704;12;27;49;111;137;160;208
0713104502;Kempenich;884;4;34;111;136;164;215;220
0713200050;Herdorf, verbandsfr. Gemeinde;3153;13;100;419;611;686;596;728
0713201;Altenkirchen (Westerwald), Verbandsgem.;10638;78;490;1628;2210;1882;1648;2702
0713201001;Almersbach;183;-;-;21;36;34;30;62
0713201004;Bachenberg;38;-;-;7;-;10;8;13
0713201009;Birnbach;253;3;12;29;33;37;35;104
0713201017;Busenhausen;141;-;3;24;15;25;27;47
0713201022;Eichelhardt;203;-;-;12;35;48;46;62
0713201027;Ersfeld;33;-;-;-;6;6;8;13
0713201031;Fiersbach;116;-;3;13;10;28;31;31
0713201033;Fluterschen;322;3;6;37;33;86;65;92
0713201035;Forstmehren;65;-;-;7;17;16;3;22
0713201040;Gieleroth;286;-;9;29;41;53;56;98
0713201046;Hasselbach, Westerwald;149;-;7;26;33;22;36;25
0713201047;Helmenzen;340;-;13;43;51;43;67;123
0713201048;Helmeroth;114;-;6;12;22;15;16;43
0713201049;Hemmelzen;115;-;12;18;18;22;27;18
0713201051;Heupelzen;118;-;-;6;15;45;24;28
0713201052;Hilgenroth;134;-;3;7;30;23;21;50
0713201053;Hirz-Maulsbach;138;-;3;19;15;15;32;54
0713201056;Idelberg;28;-;3;3;0;6;10;6
0713201057;Ingelbach;257;-;9;36;43;61;36;72
0713201058;Isert;50;-;-;6;13;6;9;16
0713201061;Kettenhausen;120;-;-;30;23;12;24;31
0713201062;Kircheib;259;-;6;43;43;46;34;87
0713201064;Kraam;78;-;-;7;12;13;18;28
0713201067;Mammelzen;437;3;26;51;96;72;96;93
0713201069;Mehren, Westerwald;198;3;3;47;27;35;24;59
0713201070;Michelbach (Westerwald);248;6;12;36;46;36;36;76
0713201074;Neitersen;378;-;16;33;54;71;80;124
0713201081;Obererbach (Westerwald);241;-;10;30;47;48;24;82
0713201082;Oberirsen;265;3;18;23;71;31;43;76
0713201086;Oberwambach;198;-;9;18;53;33;31;54
0713201087;Ölsen;37;-;-;9;6;0;12;10
0713201092;Racksen;71;-;-;-;6;15;21;29
0713201094;Rettersen;152;-;21;18;30;26;22;35
0713201099;Schöneberg, Westerwald;182;-;11;13;36;45;32;45
0713201106;Sörth;109;-;3;13;31;16;14;32
0713201109;Stürzelbach;124;-;3;4;19;29;29;40
0713201110;Volkerzen;39;-;-;-;3;3;9;24
0713201114;Werkhausen;100;-;3;7;25;17;15;33
0713201115;Weyerbusch;683;12;30;103;176;125;91;146
0713201118;Wölmersen;189;-;31;26;27;36;32;37
0713201201;Berod bei Hachenburg;269;-;10;37;37;58;49;78
0713201501;Altenkirchen (Westerwald);3178;45;189;725;876;514;325;504
0713202;Betzdorf, Verbandsgem.;7505;62;366;1181;1645;1313;1267;1671
0713202002;Alsdorf, Sieg;798;3;26;108;143;153;168;197
0713202006;Betzdorf;4924;47;280;832;1172;853;758;982
0713202042;Grünebach;271;-;9;36;52;50;59;65
0713202098;Scheuerfeld;979;9;36;152;173;165;174;270
0713202111;Wallmenroth;533;3;15;53;105;92;108;157
0713203;Daaden, Verbandsgem.;5173;33;152;557;765;1001;1016;1649
0713203018;Daaden;2094;18;75;276;360;389;399;577
0713203019;Derschen;447;-;9;37;72;99;86;144
0713203026;Emmerzhausen;323;3;12;27;35;80;54;112
0713203036;Friedewald, Westerwald;483;3;13;43;55;91;119;159
0713203050;Herdorf, Stadt;-;-;-;-;-;-;-;-
0713203068;Mauden;50;-;-;13;3;10;9;15
0713203075;Niederdreisbach;403;3;12;43;51;81;82;131
0713203079;Nisterberg;182;6;3;16;6;33;29;89
0713203101;Schutzbach;189;-;6;26;33;28;40;56
0713203113;Weitefeld;1002;-;22;76;150;190;198;366
0713204;Flammersfeld, Verbandsgem.;5808;72;307;822;1179;1162;897;1369
0713204005;Berzhausen;75;3;-;16;18;15;6;17
0713204015;Bürdenbach;334;3;36;75;88;68;28;36
0713204016;Burglahr;247;10;10;38;60;34;41;54
0713204023;Eichen;247;-;9;30;43;56;39;70
0713204029;Eulenberg;34;-;3;7;3;3;6;12
0713204032;Flammersfeld;674;4;47;152;160;126;68;117
0713204041;Giershausen;54;-;-;13;7;19;12;3
0713204043;Güllesheim;320;-;12;29;39;89;84;67
0713204055;Horhausen (Westerwald);1023;9;80;149;256;205;141;183
0713204060;Kescheid;47;3;-;3;3;14;18;6
0713204065;Krunkel;276;-;6;34;42;58;30;106
0713204078;Niedersteinebach;86;-;7;15;13;14;12;25
0713204083;Oberlahr;391;-;15;55;77;86;59;99
0713204084;Obernau;88;11;9;10;10;30;9;9
0713204085;Obersteinebach;124;-;7;6;35;18;18;40
0713204088;Orfgen;111;3;6;6;32;15;24;25
0713204089;Peterslahr;148;-;3;16;34;18;12;65
0713204090;Pleckhausen;330;-;6;22;56;47;84;115
0713204093;Reiferscheid;210;-;16;36;33;56;30;39
0713204097;Rott, Westerwald;167;10;7;20;12;29;31;58
0713204100;Schürdt;104;-;9;16;20;15;13;31
0713204103;Seelbach (Westerwald);145;-;-;7;38;35;29;36
0713204104;Seifen;69;-;4;10;10;6;13;26
0713204112;Walterschen;90;3;3;9;28;12;9;26
0713204116;Willroth;361;13;12;37;58;78;72;91
0713204119;Ziegenhain;53;-;-;11;4;16;9;13
0713205;Gebhardshain, Verbandsgem.;4804;6;151;466;740;926;1002;1513
0713205020;Dickendorf;151;-;9;19;19;37;22;45
0713205024;Elben;175;-;10;31;27;34;26;47
0713205025;Elkenroth;809;3;21;82;108;173;161;261
0713205030;Fensdorf;196;-;10;13;25;57;36;55
0713205039;Gebhardshain;840;-;27;103;167;150;168;225
0713205059;Kausen;314;-;13;16;34;62;68;121
0713205066;Malberg, Westerwald;410;-;6;43;42;83;97;139
0713205071;Molzhain;236;-;7;37;32;35;42;83
0713205073;Nauroth;498;3;17;33;83;91;114;157
0713205095;Rosenheim (Landkreis Altenkirchen);343;-;14;25;58;82;82;82
0713205107;Steinebach/Sieg;564;-;10;45;103;79;109;218
0713205108;Steineroth;268;-;7;19;42;43;77;80
0713206;Hamm (Sieg), Verbandsgem.;5828;28;219;731;1294;1153;935;1468
0713206007;Birkenbeul;212;7;10;28;43;26;32;66
0713206010;Bitzen;345;-;3;30;64;68;57;123
0713206013;Breitscheidt;444;-;23;63;104;64;64;126
0713206014;Bruchertseifen;339;-;3;41;90;74;63;68
0713206028;Etzbach;496;-;7;36;137;106;78;132
0713206034;Forst b Wissen, Sieg;301;-;3;31;84;57;45;81
0713206038;Fürthen;534;-;17;52;97;101;118;149
0713206044;Hamm (Sieg);1640;9;101;300;409;299;199;323
0713206077;Niederirsen;64;-;10;9;4;11;20;10
0713206091;Pracht;678;3;25;67;141;125;112;205
0713206096;Roth b Hamm, Sieg;702;9;17;58;111;219;121;167
0713206102;Seelbach b Hamm (Sieg);73;-;-;16;10;3;26;18
0713207;Kirchen (Sieg), Verbandsgem.;11335;119;472;1627;2193;2133;2021;2770
0713207012;Brachbach;1135;3;19;126;192;215;250;330
0713207037;Friesenhagen;720;-;26;124;135;127;105;203
0713207045;Harbach;246;-;-;21;46;50;41;88
0713207063;Kirchen (Sieg);4376;80;196;673;872;735;771;1049
0713207072;Mudersbach;2882;30;144;422;570;603;505;608
0713207076;Niederfischbach;1976;6;87;261;378;403;349;492
0713208;Wissen, Verbandsgem.;7189;49;297;984;1382;1378;1356;1743
0713208008;Birken-Honigsessen;1074;3;28;97;170;221;239;316
0713208011;Mittelhof;480;-;37;73;107;84;66;113
0713208054;Hövels;286;-;7;45;32;59;66;77
0713208080;Katzwinkel (Sieg);861;-;25;76;154;181;180;245
0713208105;Selbach (Sieg);361;-;16;39;53;81;64;108
0713208117;Wissen;4127;46;184;654;866;752;741;884
0713209;Betzdorf-Gebhardshain;-;-;-;-;-;-;-;-
0713209002;Alsdorf;-;-;-;-;-;-;-;-
0713209006;Betzdorf, Stadt;-;-;-;-;-;-;-;-
0713209020;Dickendorf;-;-;-;-;-;-;-;-
0713209024;Elben;-;-;-;-;-;-;-;-
0713209025;Elkenroth;-;-;-;-;-;-;-;-
0713209030;Fensdorf;-;-;-;-;-;-;-;-
0713209039;Gebhardshain;-;-;-;-;-;-;-;-
0713209042;Grünebach;-;-;-;-;-;-;-;-
0713209059;Kausen;-;-;-;-;-;-;-;-
0713209066;Malberg;-;-;-;-;-;-;-;-
0713209071;Molzhain;-;-;-;-;-;-;-;-
0713209073;Nauroth;-;-;-;-;-;-;-;-
0713209095;Rosenheim (Altenk.);-;-;-;-;-;-;-;-
0713209098;Scheuerfeld;-;-;-;-;-;-;-;-
0713209107;Steinebach/Sieg;-;-;-;-;-;-;-;-
0713209108;Steineroth;-;-;-;-;-;-;-;-
0713209111;Wallmenroth;-;-;-;-;-;-;-;-
0713300006;Bad Kreuznach, verbandsfr. Gemeinde;23091;929;2357;5615;6070;3665;2024;2431
0713300052;Kirn, verbandsfr. Gemeinde;4309;105;250;822;960;723;621;828
0713301;Bad Kreuznach, Verbandsgem.;4114;46;161;435;653;896;785;1135
0713301003;Altenbamberg;-;-;-;-;-;-;-;-
0713301012;Biebelsheim;299;-;12;35;48;59;55;90
0713301030;Feilbingert;-;-;-;-;-;-;-;-
0713301031;Frei-Laubersheim;471;3;23;39;74;90;98;144
0713301032;Fürfeld;669;9;13;69;110;164;114;190
0713301037;Hackenheim;943;14;47;127;172;179;161;243
0713301039;Hallgarten;-;-;-;-;-;-;-;-
0713301045;Hochstätten;-;-;-;-;-;-;-;-
0713301069;Neu-Bamberg;461;-;10;65;73;99;121;93
0713301078;Pfaffen-Schwabenheim;578;14;36;40;79;136;122;148
0713301080;Pleitersheim;144;-;7;16;16;38;15;52
0713301104;Tiefenthal, Rheinhessen;57;3;-;3;17;7;12;15
0713301106;Volxheim;492;3;13;41;64;124;87;160
0713302;Bad Münster am Stein-Ebernburg, Verbandsgem.;5872;96;322;905;1278;1145;898;1228
0713302003;Altenbamberg;382;9;24;43;64;86;60;96
0713302007;Bad Münster am Stein-Ebernburg;2412;80;241;580;668;349;229;265
0713302027;Duchroth;270;3;-;25;44;71;46;81
0713302030;Feilbingert;770;-;12;60;135;185;145;233
0713302039;Hallgarten;338;-;10;33;56;60;77;102
0713302045;Hochstätten;313;-;7;25;71;71;66;73
0713302070;Niederhausen;271;-;6;9;58;51;60;87
0713302071;Norheim;681;4;19;93;107;174;115;169
0713302074;Oberhausen an der Nahe;171;-;-;19;25;31;44;52
0713302105;Traisen;264;-;3;18;50;67;56;70
0713303;Kirn-Land, Verbandsgem.;4597;21;166;427;640;863;926;1554
0713303008;Bärenbach b Idar-Oberstein;212;-;3;6;18;16;59;110
0713303010;Becherbach bei Kirn;178;-;6;13;9;15;27;108
0713303016;Brauweiler;39;-;-;3;11;7;9;9
0713303038;Hahnenbach;301;-;10;68;44;51;53;75
0713303041;Heimweiler;168;-;10;10;13;25;38;72
0713303042;Heinzenberg;12;-;-;-;-;3;-;9
0713303043;Hennweiler;585;6;19;74;74;124;110;178
0713303046;Hochstetten-Dhaun;756;-;28;50;133;152;178;215
0713303047;Horbach b Simmertal;16;-;-;-;-;3;3;10
0713303059;Limbach b Kirn, Nahe;134;-;6;6;6;25;17;74
0713303063;Meckenbach b Kirn, Nahe;177;3;9;13;32;21;29;70
0713303073;Oberhausen bei Kirn;393;-;9;31;76;77;71;129
0713303077;Otzweiler;90;-;6;3;9;21;18;33
0713303096;Simmertal;896;9;45;117;164;190;150;221
0713303113;Weitersborn;91;-;-;6;12;14;18;41
0713303201;Bruschied;151;3;3;6;10;43;38;48
0713303202;Kellenbach;124;-;-;-;13;26;52;33
0713303203;Königsau;33;-;-;6;-;-;7;20
0713303204;Schneppenbach;116;-;3;6;3;28;31;45
0713303205;Schwarzerden;125;-;9;9;13;22;18;54
0713304;Langenlonsheim, Verbandsgem.;6210;93;279;841;1119;1189;1067;1622
0713304018;Bretzenheim;1160;9;39;116;285;191;177;343
0713304026;Dorsheim;335;18;16;50;53;39;87;72
0713304035;Guldental;1128;6;52;134;146;202;242;346
0713304054;Langenlonsheim;1731;28;92;336;295;355;263;362
0713304056;Laubenheim;398;3;13;45;73;102;57;105
0713304087;Rümmelsheim;643;29;33;61;109;135;110;166
0713304114;Windesheim;815;-;34;99;158;165;131;228
0713305;Meisenheim, Verbandsgem.;3816;40;149;405;557;683;706;1276
0713305001;Abtweiler;95;-;3;3;19;10;13;47
0713305011;Becherbach;442;3;12;24;64;75;95;169
0713305017;Breitenheim;196;-;3;24;9;50;47;63
0713305020;Callbach;190;-;6;12;40;30;39;63
0713305024;Desloch;159;3;-;10;17;36;17;76
0713305049;Hundsbach;183;-;-;3;21;20;45;94
0713305051;Jeckenbach;117;-;-;3;21;13;31;49
0713305058;Lettweiler;108;-;3;3;12;13;40;37
0713305060;Löllbach;106;-;-;3;10;20;19;54
0713305065;Meisenheim;1379;34;111;242;248;264;180;300
0713305081;Raumbach;195;-;-;18;28;35;47;67
0713305083;Rehborn;347;-;8;44;27;59;77;132
0713305084;Reiffelbach;120;-;3;9;23;16;35;34
0713305090;Schmittweiler;96;-;-;-;6;31;12;47
0713305092;Schweinschied;83;-;-;7;12;11;9;44
0713306;Rüdesheim, Verbandsgem.;11248;45;452;1309;1873;2239;2117;3213
0713306002;Allenfeld;76;-;-;10;11;6;20;29
0713306004;Argenschwang;152;-;-;18;17;34;53;30
0713306013;Bockenau;602;3;37;72;96;135;120;139
0713306014;Boos, Nahe;176;3;6;15;21;36;43;52
0713306015;Braunweiler;277;-;13;21;37;56;67;83
0713306019;Burgsponheim;117;-;6;9;19;15;41;27
0713306021;Dalberg;98;-;6;3;6;23;13;47
0713306027;Duchroth;-;-;-;-;-;-;-;-
0713306033;Gebroth;68;-;-;10;4;9;9;36
0713306036;Gutenberg;438;-;16;67;65;70;72;148
0713306040;Hargesheim;1302;16;62;177;241;253;249;304
0713306044;Hergenfeld;205;-;10;6;39;39;29;82
0713306048;Hüffelsheim;569;6;18;41;80;102;145;177
0713306061;Mandel;385;-;19;32;61;65;62;146
0713306068;Münchwald;148;-;3;-;34;33;32;46
0713306070;Niederhausen;-;-;-;-;-;-;-;-
0713306071;Norheim;-;-;-;-;-;-;-;-
0713306074;Oberhausen an d.Nahe;-;-;-;-;-;-;-;-
0713306075;Oberstreit;121;-;-;11;11;44;25;30
0713306086;Roxheim;1068;4;21;153;223;202;164;301
0713306088;Sankt Katharinen;163;-;-;9;22;53;21;58
0713306089;Schloßböckelheim;186;-;6;16;37;34;43;50
0713306098;Sommerloch;182;-;4;20;25;17;35;81
0713306099;Spabrücken;488;-;15;41;72;84;118;158
0713306100;Spall;67;-;-;-;14;17;0;36
0713306101;Sponheim;348;-;6;45;43;73;73;108
0713306105;Traisen;-;-;-;-;-;-;-;-
0713306107;Waldböckelheim;1059;4;52;163;125;230;197;288
0713306109;Wallhausen, Kr Bad Kreuznach;728;-;32;67;108;151;129;241
0713306112;Weinsheim, Kr Bad Kreuznach;859;-;21;142;155;185;161;195
0713306115;Winterbach, Kr Bad Kreuznach;225;-;10;15;26;42;38;94
0713306117;Rüdesheim;1141;9;89;146;281;231;158;227
0713307;Bad Sobernheim, Verbandsgem.;8435;85;301;946;1522;1607;1669;2305
0713307005;Auen;97;-;3;4;4;22;37;27
0713307009;Bärweiler;108;-;-;7;9;28;18;46
0713307022;Daubach, Hunsrück;104;-;-;-;22;22;42;18
0713307050;Ippenschied;53;-;-;7;6;3;7;30
0713307053;Kirschroth;138;-;7;9;22;12;24;64
0713307055;Langenthal;44;-;-;6;3;13;9;13
0713307057;Lauschied;247;-;-;17;43;36;57;94
0713307062;Martinstein;144;-;-;9;37;26;28;44
0713307064;Meddersheim;586;6;18;24;72;129;153;184
0713307066;Merxheim;667;3;13;65;100;139;151;196
0713307067;Monzingen;712;-;15;78;102;146;145;226
0713307072;Nußbaum;203;3;-;18;15;48;38;81
0713307076;Odernheim am Glan;848;3;30;84;137;171;169;254
0713307082;Rehbach;19;-;-;-;8;7;-;4
0713307094;Seesbach;264;-;9;20;38;47;70;80
0713307102;Staudernheim;672;6;28;51;104;106;161;216
0713307111;Weiler bei Monzingen;221;-;7;13;28;41;61;71
0713307116;Winterburg;113;-;-;9;27;26;15;36
0713307501;Bad Sobernheim;3195;64;171;525;745;585;484;621
0713308;Stromberg, Verbandsgem.;4679;75;192;600;906;976;757;1173
0713308023;Daxweiler;374;3;12;49;43;66;79;122
0713308025;Dörrebach;333;-;10;38;32;82;67;104
0713308028;Eckenroth;116;-;-;10;16;27;22;41
0713308085;Roth b Stromberg, Hunsrück;118;-;3;0;15;24;17;59
0713308091;Schöneberg, Hunsrück;304;15;21;15;37;71;61;84
0713308093;Schweppenhausen;427;3;16;41;99;67;99;102
0713308095;Seibersbach;615;9;10;64;92;130;114;196
0713308103;Stromberg;1814;36;106;338;458;402;198;276
0713308108;Waldlaubersheim;386;9;10;36;64;68;68;131
0713308110;Warmsroth;192;-;4;9;50;39;32;58
0713400045;Idar-Oberstein, verbandsfr. Gemeinde;16658;395;818;2698;4076;2788;2288;3527
0713401;Baumholder, Verbandsgem.;6481;649;383;916;1334;907;1001;1176
0713401005;Baumholder;3662;646;328;598;864;383;397;381
0713401007;Berglangenbach;225;-;-;24;22;75;27;77
0713401008;Berschweiler bei Baumholder;278;-;12;34;55;43;59;69
0713401021;Eckersweiler;104;-;-;7;12;22;39;24
0713401026;Fohren-Linden;156;-;3;13;36;32;19;50
0713401027;Frauenberg;203;-;-;33;27;40;31;68
0713401033;Hahnweiler;90;-;-;6;6;23;30;25
0713401036;Heimbach, Nahe;599;-;19;90;124;106;122;130
0713401051;Leitzweiler;44;-;-;-;3;0;18;23
0713401054;Mettweiler;143;3;-;14;33;13;35;39
0713401068;Reichenbach, Kr Birkenfeld, Nahe;279;-;6;22;44;42;77;81
0713401073;Rohrbach, Nahe;106;-;-;12;18;25;26;22
0713401074;Rückweiler;182;-;3;18;34;47;22;55
0713401075;Ruschberg;410;-;12;45;56;56;99;132
0713402;Birkenfeld, Verbandsgem.;9510;254;328;1141;1594;1805;1752;2602
0713402001;Abentheuer;212;-;3;27;24;53;45;60
0713402002;Achtelsbach;186;-;3;19;23;25;55;61
0713402010;Birkenfeld, Nahe;3222;50;179;580;688;677;437;597
0713402011;Börfink;106;-;-;3;27;18;20;38
0713402015;Brücken;586;-;25;64;85;93;114;202
0713402016;Buhlenberg;218;3;-;20;28;44;61;59
0713402018;Dambach;66;-;4;-;12;6;16;28
0713402020;Dienstweiler;127;-;-;3;24;13;38;45
0713402022;Elchweiler;45;-;-;-;-;13;11;21
0713402023;Ellenberg b Birkenfeld, Nahe;32;-;-;3;-;15;7;7
0713402024;Ellweiler;150;-;6;19;23;25;23;54
0713402029;Gimbweiler;210;-;3;18;24;54;26;85
0713402031;Gollenberg;54;-;3;-;6;6;17;22
0713402034;Hattgenstein;132;-;-;9;35;27;21;40
0713402042;Hoppstädten-Weiersbach;1422;181;64;185;175;217;226;367
0713402048;Kronweiler;174;-;-;22;39;36;41;33
0713402050;Leisel;233;-;3;12;36;27;55;100
0713402053;Meckenbach Kr Birkenfeld, Nahe;57;-;-;-;3;13;19;22
0713402057;Niederbrombach;246;-;-;15;35;53;45;98
0713402058;Niederhambach;155;-;-;17;18;32;37;51
0713402061;Nohen;178;-;3;12;51;29;29;54
0713402062;Oberbrombach;225;-;10;16;29;37;67;66
0713402063;Oberhambach;154;16;6;15;22;29;35;31
0713402070;Rimsberg;54;-;-;3;13;9;13;16
0713402071;Rinzenberg;147;-;3;4;20;27;45;48
0713402072;Rötsweiler-Nockenthal;239;-;-;9;51;43;59;77
0713402078;Schmißberg;108;-;4;15;9;25;37;18
0713402080;Schwollen;226;-;-;7;28;46;46;99
0713402084;Siesbach;178;4;-;19;22;50;36;47
0713402085;Sonnenberg-Winnenberg;237;-;3;22;28;28;46;110
0713402094;Wilzenberg-Hußweiler;131;-;6;3;16;35;25;46
0713403;Herrstein, Verbandsgem.;7816;38;197;683;1094;1465;1622;2714
0713403003;Allenbach;305;-;12;18;31;54;102;88
0713403006;Bergen b Kirn, Nahe;218;-;3;21;36;38;46;74
0713403009;Berschweiler bei Kirn;136;3;4;13;26;18;25;47
0713403013;Breitenthal  b Idar Oberstein;147;-;6;6;10;25;39;61
