GENESIS-Tabelle: 31211-11-01-5-B
Wohnungen in Wohngebäuden nach Art der;;;;;;
Wohnungsnutzung - Stichtag 09.05.2011;;;;;;
regionale Ebenen;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;
Stichtag: 09.05.2011;;;;;;
;;Wohnungen in Wohngebäuden;Wohnungen in Wohngebäuden;Wohnungen in Wohngebäuden;Wohnungen in Wohngebäuden;Wohnungen in Wohngebäuden
;;Art der Wohnungsnutzung;Art der Wohnungsnutzung;Art der Wohnungsnutzung;Art der Wohnungsnutzung;Art der Wohnungsnutzung
;;Insgesamt;von Eigentümer/-in bewohnt;zu Wohnzwecken vermietet (auch mietfrei);Ferien- oder Freizeitwohnung;leer stehend
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
05558044;Senden, Westf;8017;4578;3280;6;147
05562004;Castrop-Rauxel;37011;14401;21173;19;1415
05562008;Datteln;16504;6698;9224;10;572
05562012;Dorsten;35030;16511;17312;21;1186
05562014;Gladbeck;36089;12715;22073;10;1291
05562016;Haltern am See;16792;9222;7048;82;440
05562020;Herten;30264;11283;17617;7;1357
05562024;Marl, Westf;42049;16699;23548;16;1783
05562028;Oer-Erkenschwick;14025;5432;8102;-;491
05562032;Recklinghausen;59634;20676;36515;3;2431
05562036;Waltrop;13724;6317;7065;-;342
05566004;Altenberge;4033;2405;1551;-;71
05566008;Emsdetten;14709;8604;5810;6;286
05566012;Greven, Westf;15085;7909;6814;42;314
05566016;Hörstel;7244;5026;2094;3;121
05566020;Hopsten;2517;1708;722;18;65
05566024;Horstmar;2453;1712;692;4;45
05566028;Ibbenbüren;21032;12491;8078;33;427
05566032;Ladbergen;2624;1526;1037;9;52
05566036;Laer;2676;1597;988;12;79
05566040;Lengerich, Westf;9287;4737;4223;35;292
05566044;Lienen;3377;2001;1262;15;99
05566048;Lotte;5940;3312;2456;7;161
05566052;Metelen;2459;1591;771;33;64
05566056;Mettingen;4598;3046;1452;3;97
05566060;Neuenkirchen, Kr Steinfurt;5086;3600;1415;-;71
05566064;Nordwalde;3604;2339;1172;6;87
05566068;Ochtrup;7355;4597;2609;17;132
05566072;Recke;4038;2678;1286;-;74
05566076;Rheine;32549;16901;14677;19;949
05566080;Saerbeck;2588;1584;950;19;35
05566084;Steinfurt;14313;8129;5639;11;531
05566088;Tecklenburg;3647;2310;1197;24;116
05566092;Westerkappeln;4188;2466;1633;-;89
05566096;Wettringen, Kr Steinfurt;2858;1944;796;58;60
05570004;Ahlen;23288;10592;11929;3;764
05570008;Beckum;16210;8639;6976;6;589
05570012;Beelen;2328;1426;838;-;64
05570016;Drensteinfurt;6183;3796;2260;10;117
05570020;Ennigerloh;8500;4998;3238;6;258
05570024;Everswinkel;3833;2394;1353;7;79
05570028;Oelde;12708;7288;5025;7;385
05570032;Ostbevern;3864;2159;1636;3;66
05570036;Sassenberg;5192;3347;1732;16;97
05570040;Sendenhorst;5335;2991;2200;3;141
05570044;Telgte;8170;4585;3407;10;168
05570048;Wadersloh;4768;3219;1402;-;147
05570052;Warendorf;15872;8523;6926;12;408
05711000;Bielefeld, krsfr. Stadt;160978;55604;100083;94;4954
05754004;Borgholzhausen;3589;1963;1501;9;116
05754008;Gütersloh;43867;19595;22557;15;1344
05754012;Halle (Westf.);9211;4755;4140;21;292
05754016;Harsewinkel;9578;5618;3541;-;232
05754020;Herzebrock-Clarholz;6301;3861;2289;3;148
05754024;Langenberg;3232;2123;1025;-;84
05754028;Rheda-Wiedenbrück;19523;10120;8925;29;449
05754032;Rietberg;11011;6424;4332;-;255
05754036;Schloß Holte-Stukenbrock;10859;6074;4526;9;250
05754040;Steinhagen, Westf;8872;4386;4222;9;255
05754044;Verl, Stadt;9721;5346;4156;3;216
05754048;Versmold;8788;4212;4267;31;275
05754052;Werther (Westf.);5089;2345;2547;6;191
05758004;Bünde;20606;11120;8542;21;923
05758008;Enger;8882;4887;3528;6;457
05758012;Herford;31226;12887;16897;18;1424
05758016;Hiddenhausen;9065;5355;3320;3;387
05758020;Kirchlengern;6942;4407;2257;-;278
05758024;Löhne;18143;9731;7587;3;816
05758028;Rödinghausen;4020;2555;1320;9;136
05758032;Spenge;6626;3766;2553;6;301
05758036;Vlotho;8670;4870;3249;73;478
05762004;Bad Driburg;8741;4535;3648;44;514
05762008;Beverungen;6197;3720;2169;24;284
05762012;Borgentreich;3699;2628;900;24;147
05762016;Brakel;6813;4213;2289;40;271
05762020;Höxter;14122;7697;5727;62;636
05762024;Marienmünster;2080;1568;408;27;77
05762028;Nieheim;2682;1816;733;9;124
05762032;Steinheim;5473;3319;1912;3;236
05762036;Warburg;10175;6032;3718;25;400
05762040;Willebadessen;3330;2285;886;16;143
05766004;Augustdorf;3656;1732;1763;-;161
05766008;Bad Salzuflen;26058;12091;12648;100;1213
05766012;Barntrup;4081;2233;1593;10;245
05766016;Blomberg, Lippe;7061;3982;2700;13;366
05766020;Detmold;35736;16164;18106;82;1381
05766024;Dörentrup;3631;2215;1234;6;176
05766028;Extertal;5601;3074;2141;37;349
05766032;Horn-Bad Meinberg;8155;4144;3435;20;556
05766036;Kalletal;6424;3583;2428;16;397
05766040;Lage, Lippe;15432;8051;6632;3;746
05766044;Lemgo;19077;9498;8855;49;672
05766048;Leopoldshöhe;6764;4305;2248;-;211
05766052;Lügde;4554;2652;1590;15;297
05766056;Oerlinghausen;8029;4311;3279;10;429
05766060;Schieder-Schwalenberg;4071;2258;1503;18;289
05766064;Schlangen;3906;2257;1449;21;172
05770004;Bad Oeynhausen;22820;10857;11016;54;890
05770008;Espelkamp;9772;4871;4604;7;290
05770012;Hille;6331;4391;1731;3;206
05770016;Hüllhorst;5237;3441;1598;3;195
05770020;Lübbecke;11265;5908;4918;9;427
05770024;Minden, Westf;38589;17648;18930;17;1994
05770028;Petershagen;10659;7099;3092;16;452
05770032;Porta Westfalica;15899;9395;5740;16;748
05770036;Preußisch Oldendorf;5061;3063;1781;13;204
05770040;Rahden;5845;3848;1823;3;171
05770044;Stemwede;4963;3329;1438;24;172
05774004;Altenbeken;3679;2359;1152;21;147
05774008;Bad Lippspringe;7378;2793;4125;7;307
05774012;Borchen;5261;3239;1874;3;145
05774016;Büren;8792;5421;2997;22;352
05774020;Delbrück;11143;7128;3771;30;214
05774024;Hövelhof;6252;3450;2656;3;143
05774028;Lichtenau, Westf;4160;3052;923;34;151
05774032;Paderborn;69110;25445;41620;53;1666
05774036;Salzkotten;9764;6323;3189;18;234
05774040;Bad Wünnenberg;4980;2993;1584;166;234
05911000;Bochum, krsfr. Stadt;191209;55349;128764;51;7035
05913000;Dortmund, krsfr. Stadt;300172;80356;208084;64;11652
05914000;Hagen, krsfr. Stadt;98661;27251;64402;169;6833
05915000;Hamm, krsfr. Stadt;82123;32423;46481;22;3197
05916000;Herne, krsfr. Stadt;81247;22989;53877;21;4357
05954004;Breckerfeld;4075;2206;1712;15;142
05954008;Ennepetal;15506;6022;8464;9;1004
05954012;Gevelsberg;15446;5651;9073;6;716
05954016;Hattingen;27651;9967;16568;10;1106
05954020;Herdecke;11844;5433;5922;12;477
05954024;Schwelm;14739;4355;9459;3;919
05954028;Sprockhövel;12047;5734;5950;9;354
05954032;Wetter (Ruhr);13343;5306;7263;15;759
05954036;Witten;49472;15720;31548;30;2174
05958004;Arnsberg;35992;16914;17246;43;1789
05958008;Bestwig;5037;2762;1896;28;351
05958012;Brilon;11933;6553;4633;134;613
05958016;Eslohe (Sauerland);3668;2215;1267;59;127
05958020;Hallenberg;2042;1256;633;28;125
05958024;Marsberg;8856;5488;2881;118;369
05958028;Medebach;3694;2145;1160;220;169
05958032;Meschede;14089;7280;5899;237;673
05958036;Olsberg;6875;3837;2634;125;279
05958040;Schmallenberg;10898;6067;4132;241;455
05958044;Sundern (Sauerland);12542;7160;4658;164;560
05958048;Winterberg;7368;3805;2355;863;345
05962004;Altena;9756;3883;4819;6;1045
05962008;Balve;5064;2863;1984;3;214
05962012;Halver;7484;3601;3567;10;306
05962016;Hemer;16465;8129;7642;6;688
05962020;Herscheid;3534;1969;1352;33;180
05962024;Iserlohn;46083;18228;25847;41;1958
05962028;Kierspe;7237;3612;3195;12;418
05962032;Lüdenscheid;37302;13581;21787;26;1908
05962036;Meinerzhagen;9260;4502;4269;112;377
05962040;Menden (Sauerland);25596;11595;12629;9;1363
05962044;Nachrodt-Wiblingwerde;3047;1494;1393;12;148
05962048;Neuenrade;5251;2883;2120;8;240
05962052;Plettenberg;12415;5679;6011;15;710
05962056;Schalksmühle;5253;2894;2062;43;254
05962060;Werdohl;8802;3702;4360;15;725
05966004;Attendorn;10405;5399;4606;38;359
05966008;Drolshagen;4882;3168;1535;15;164
05966012;Finnentrop;7465;4496;2622;27;320
05966016;Kirchhundem;5392;3450;1649;55;238
05966020;Lennestadt;11574;6491;4606;42;429
05966024;Olpe;10946;5692;4933;24;297
05966028;Wenden;7979;5498;2248;19;214
05970004;Bad Berleburg;8649;5545;2602;134;368
05970008;Burbach, Siegerl;6297;3984;2059;6;248
05970012;Erndtebrück;3234;2032;1049;15;138
05970016;Freudenberg, Westf;8001;5174;2549;9;266
05970020;Hilchenbach;6824;4182;2360;40;242
05970024;Kreuztal;13773;7758;5388;56;571
05970028;Bad Laasphe;6244;4032;1870;62;280
05970032;Netphen;10596;6374;3847;28;347
05970036;Neunkirchen, Siegerl;6027;3683;2105;24;215
05970040;Siegen;51224;22157;27098;96;1864
05970044;Wilnsdorf;9098;6059;2709;12;318
05974004;Anröchte;4171;2640;1398;13;120
05974008;Bad Sassendorf;5509;2729;2581;61;138
05974012;Ense;5020;3153;1713;7;147
05974016;Erwitte;6792;3880;2702;12;198
05974020;Geseke;8170;4860;3051;-;256
05974024;Lippetal;4696;3091;1456;20;129
05974028;Lippstadt;30586;14807;14838;12;929
05974032;Möhnesee;5344;3163;1751;236;191
05974036;Rüthen;4634;2939;1435;17;243
05974040;Soest;22465;9234;12508;19;704
05974044;Warstein;12251;7316;4297;67;571
05974048;Welver;5079;3344;1570;30;135
05974052;Werl;13143;6264;6459;-;420
05974056;Wickede (Ruhr);4981;2609;2150;6;216
05978004;Bergkamen;22050;9263;11988;6;793
05978008;Bönen;7925;4022;3668;6;229
05978012;Fröndenberg/Ruhr;9421;5172;3880;-;366
05978016;Holzwickede;7952;3846;3885;-;221
05978020;Kamen;20790;9098;11078;6;608
05978024;Lünen;42317;12903;27864;21;1529
05978028;Schwerte;23200;10109;12225;24;842
05978032;Selm;11553;6071;5127;9;346
05978036;Unna, Stadt;28828;13112;14754;9;953
05978040;Werne;13630;6587;6688;12;343
06411000;Darmstadt, krsfr. Stadt;72517;23659;46992;51;1812
06412000;Frankfurt am Main, krsfr. Stadt;353745;69150;275062;329;9167
06413000;Offenbach am Main, krsfr. Stadt;56637;13029;41706;32;1870
06414000;Wiesbaden, krsfr. Stadt;133182;36948;91222;180;4143
06431001;Abtsteinach;1153;757;330;9;57
06431002;Bensheim;17526;8988;8025;42;468
06431003;Biblis;4030;2479;1328;45;175
06431004;Birkenau;4706;2740;1699;21;237
06431005;Bürstadt;6719;3990;2472;9;244
06431006;Einhausen, Hess;2626;1661;901;6;58
06431007;Fürth;4508;2737;1513;9;249
06431008;Gorxheimertal;1935;1163;659;9;104
06431009;Grasellenbach;1663;952;526;57;128
06431010;Groß-Rohrheim;1653;1061;520;-;72
06431011;Heppenheim (Bergstraße);11446;5992;4990;24;437
06431012;Hirschhorn (Neckar);1746;932;680;15;119
06431013;Lampertheim;14366;8038;5846;9;460
06431014;Lautertal (Odenwald);3217;2132;938;12;135
06431015;Lindenfels;2394;1386;828;40;140
06431016;Lorsch;5633;3349;2142;3;139
06431017;Mörlenbach;4568;2482;1789;24;270
06431018;Neckarsteinach;1945;1116;693;9;123
06431019;Rimbach, Odenw;3800;2302;1301;21;176
06431020;Viernheim;15119;6414;8134;7;546
06431021;Wald-Michelbach;4690;2712;1614;55;309
06431022;Zwingenberg (Bergstraße);3016;1773;1126;7;110
06431200;Michelbuch, gem.fr. Geb.;-;-;-;-;-
06432001;Alsbach-Hähnlein;4115;2481;1493;9;132
06432002;Babenhausen, Hess;6878;3844;2762;-;269
06432003;Bickenbach, Bergstr;2523;1470;989;-;64
06432004;Dieburg;6263;3572;2514;-;177
06432005;Eppertshausen;2581;1464;1039;-;78
06432006;Erzhausen;3314;1858;1329;6;121
06432007;Fischbachtal;1108;691;367;9;41
06432008;Griesheim;11830;5459;6037;18;310
06432009;Groß-Bieberau;1886;1090;716;3;77
06432010;Groß-Umstadt;8908;5405;3196;15;292
06432011;Groß-Zimmern;5671;3293;2211;-;167
06432012;Messel;1746;1046;613;6;81
06432013;Modautal;2154;1421;630;6;97
06432014;Mühltal;6176;3523;2410;18;225
06432015;Münster b Dieburg;5961;3470;2283;3;205
06432016;Ober-Ramstadt;6648;3591;2753;10;294
06432017;Otzberg;2763;1904;713;20;126
06432018;Pfungstadt;10913;5241;5288;3;381
06432019;Reinheim;7340;4542;2520;6;272
06432020;Roßdorf b Darmstadt;5427;3191;2045;4;187
06432021;Schaafheim;3865;2456;1268;6;135
06432022;Seeheim-Jugenheim;7404;4325;2753;19;307
06432023;Weiterstadt;10850;5471;5018;3;354
06433001;Biebesheim am Rhein;2819;1630;1080;3;106
06433002;Bischofsheim;5776;2804;2802;6;164
06433003;Büttelborn;6309;3611;2470;-;228
06433004;Gernsheim;4385;2426;1824;0;135
06433005;Ginsheim-Gustavsburg;7358;2794;4294;-;270
06433006;Groß-Gerau;10254;5599;4275;3;374
06433007;Kelsterbach;6673;1990;4379;7;297
06433008;Mörfelden-Walldorf;15142;7049;7639;18;430
06433009;Nauheim;4617;2679;1798;3;137
06433010;Raunheim;5922;2467;3322;-;133
06433011;Riedstadt;9112;5636;3208;3;262
06433012;Rüsselsheim;27669;10422;16375;19;846
06433013;Stockstadt am Rhein;2453;1489;896;-;68
06433014;Trebur;5886;3462;2257;7;151
06434001;Bad Homburg v.d.Höhe;25824;10875;14194;41;708
06434002;Friedrichsdorf;11181;6133;4742;22;284
06434003;Glashütten, Taunus;2365;1582;663;12;108
06434004;Grävenwiesbach;2220;1342;755;12;111
06434005;Königstein im Taunus;7420;3781;3253;19;364
06434006;Kronberg im Taunus;8358;3856;4204;6;292
06434007;Neu-Anspach;6139;3857;2106;12;164
06434008;Oberursel (Taunus);20732;8854;11297;24;549
06434009;Schmitten;4068;2606;1167;84;211
06434010;Steinbach (Taunus);4749;1830;2738;6;175
06434011;Usingen;5773;3340;2240;6;187
06434012;Wehrheim;4073;2688;1226;24;135
06434013;Weilrod;2886;1934;739;50;163
06435001;Bad Orb;5070;2185;2487;64;334
06435002;Bad Soden-Salmünster;5991;3278;2304;60;349
06435003;Biebergemünd;3744;2503;1003;61;177
06435004;Birstein;2644;1866;622;29;127
06435005;Brachttal;2387;1547;678;22;140
06435006;Bruchköbel;9397;5451;3668;7;271
06435007;Erlensee;5940;3033;2669;9;229
06435008;Flörsbachtal;1173;796;244;49;84
06435009;Freigericht;6476;4172;2063;3;238
06435010;Gelnhausen;9995;5411;4177;15;392
06435011;Großkrotzenburg;3455;1983;1366;6;100
06435012;Gründau;6346;3892;2215;14;222
06435013;Hammersbach;2173;1344;742;3;84
06435014;Hanau;41142;14817;24307;26;1989
06435015;Hasselroth;3331;2123;1074;3;131
06435016;Jossgrund;1684;1160;377;28;119
06435017;Langenselbold;6131;3426;2509;-;196
06435018;Linsengericht;4445;2866;1408;18;153
06435019;Maintal;17770;7571;9577;10;608
06435020;Neuberg;2462;1577;807;-;78
06435021;Nidderau;8509;5431;2830;6;242
06435022;Niederdorfelden;1607;848;712;6;41
06435023;Rodenbach b Hanau;5028;3169;1731;-;128
06435024;Ronneburg, Hess;1528;1027;404;3;94
06435025;Schlüchtern;7158;4231;2568;45;314
06435026;Schöneck;5248;3136;1954;6;152
06435027;Sinntal;3958;2989;706;30;233
06435028;Steinau a.d.Straße;4568;2995;1318;34;221
06435029;Wächtersbach;5350;3034;2085;9;222
06435200;Gutsbezirk Spessart;-;-;-;-;-
06436001;Bad Soden am Taunus;10730;5157;5259;31;277
06436002;Eppstein;5997;3448;2332;6;199
06436003;Eschborn;9815;4383;5196;15;221
06436004;Flörsheim am Main;9040;4873;3897;3;258
06436005;Hattersheim am Main;11888;5550;6046;6;283
06436006;Hochheim am Main;7672;3846;3687;7;123
06436007;Hofheim am Taunus;17290;9127;7611;83;454
06436008;Kelkheim (Taunus);12636;6483;5722;57;371
06436009;Kriftel;4679;2398;2180;-;101
06436010;Liederbach am Taunus;3885;2074;1708;10;93
06436011;Schwalbach am Taunus;6984;3287;3528;16;153
06436012;Sulzbach (Taunus);4131;1897;2128;7;99
06437001;Bad König;4282;2396;1608;46;232
06437002;Beerfelden;2935;1807;865;58;205
06437003;Brensbach;2359;1484;706;33;136
06437004;Breuberg;3248;1879;1166;31;169
06437005;Brombachtal;1703;1050;519;30;104
06437006;Erbach;5907;3132;2485;36;254
06437007;Fränkisch-Crumbach;1474;919;459;13;83
06437008;Hesseneck;358;225;72;21;40
06437009;Höchst i. Odw.;4364;2540;1584;19;221
06437010;Lützelbach;3060;1959;889;15;197
06437011;Michelstadt;7260;4198;2685;84;293
06437012;Mossautal;1115;760;275;27;53
06437013;Reichelsheim (Odenwald);3878;2429;1179;55;215
06437014;Rothenberg;1100;742;240;48;70
06437015;Sensbachtal;445;307;79;19;40
06438001;Dietzenbach;13681;6294;6999;6;382
06438002;Dreieich;19208;8790;9860;10;548
06438003;Egelsbach;4661;2726;1792;-;143
06438004;Hainburg;6288;3386;2710;-;192
06438005;Heusenstamm;8539;4551;3733;10;245
06438006;Langen (Hessen);16506;6367;9727;16;393
06438007;Mainhausen;4007;2337;1504;6;157
06438008;Mühlheim am Main;12654;5439;6870;3;342
06438009;Neu-Isenburg;18330;5751;12114;16;449
06438010;Obertshausen;10973;4654;6034;6;279
06438011;Rodgau;19155;9772;8734;12;637
06438012;Rödermark;11618;6417;4794;13;394
06438013;Seligenstadt;9106;4755;4103;3;245
06439001;Aarbergen;2896;1696;940;3;257
06439002;Bad Schwalbach;4926;2483;2137;6;294
06439003;Eltville am Rhein;7738;3743;3734;9;233
06439004;Geisenheim;5471;2647;2585;53;179
06439005;Heidenrod;3698;2450;982;39;227
06439006;Hohenstein, Untertaunus;2791;1933;734;-;124
06439007;Hünstetten;4372;3019;1192;15;143
06439008;Idstein;10827;5409;4984;24;403
06439009;Kiedrich;1792;912;800;9;71
06439010;Lorch, Rheingau;1896;1165;542;42;147
06439011;Niedernhausen;6905;3719;2960;12;198
06439012;Oestrich-Winkel;5454;3132;2086;12;224
06439013;Rüdesheim am Rhein;4316;1944;2145;27;200
06439014;Schlangenbad;3089;1766;1075;98;147
06439015;Taunusstein;13102;6917;5782;7;389
06439016;Waldems;2458;1651;677;11;119
06439017;Walluf;2705;1284;1345;3;69
06440001;Altenstadt, Hess;5029;3096;1743;10;180
06440002;Bad Nauheim;14471;6165;7758;62;486
06440003;Bad Vilbel;14946;7202;7320;35;389
06440004;Büdingen;8993;5052;3531;22;388
06440005;Butzbach;10659;5331;4842;58;428
06440006;Echzell;2362;1515;761;-;86
06440007;Florstadt;3909;2508;1227;7;167
06440008;Friedberg (Hessen);12597;5479;6653;16;449
06440009;Gedern;3155;2035;914;29;177
06440010;Glauburg;1423;915;449;6;53
06440011;Hirzenhain;1360;819;425;37;79
06440012;Karben;9492;5718;3478;9;287
06440013;Kefenrod;1175;761;372;-;42
06440014;Limeshain;2319;1404;841;-;74
06440015;Münzenberg;2455;1666;687;-;102
06440016;Nidda;7401;4482;2499;46;374
06440017;Niddatal;4208;2732;1284;-;192
06440018;Ober-Mörlen;2734;1709;932;3;90
06440019;Ortenberg, Hess;4005;2509;1281;17;198
06440020;Ranstadt;2227;1565;561;18;83
06440021;Reichelsheim (Wetterau);2946;1884;943;6;113
06440022;Rockenberg;1836;1129;636;-;71
06440023;Rosbach v.d.Höhe;5135;3251;1716;-;168
06440024;Wölfersheim;4154;2655;1367;-;132
06440025;Wöllstadt;2791;1553;1139;-;99
06531001;Allendorf (Lumda);1837;1229;517;3;88
06531002;Biebertal;4636;3044;1396;3;193
06531003;Buseck;5833;3502;2074;3;254
06531004;Fernwald;3046;1620;1316;3;107
06531005;Gießen;40544;9350;29805;43;1346
06531006;Grünberg, Hess;5925;3479;2200;23;223
06531007;Heuchelheim;3577;1802;1613;3;159
06531008;Hungen;5618;3453;1872;41;252
06531009;Langgöns;5087;3040;1817;34;196
06531010;Laubach, Hess;4331;2728;1322;67;214
06531011;Lich;5909;3221;2448;13;224
06531012;Linden, Hessen;5827;2866;2762;3;196
06531013;Lollar;4138;2113;1879;7;139
06531014;Pohlheim;7562;4320;2936;6;300
06531015;Rabenau, Hess;2276;1569;588;6;113
06531016;Reiskirchen;4485;2728;1561;-;193
06531017;Staufenberg, Hess;3793;2328;1320;-;145
06531018;Wettenberg;5638;3348;2090;-;200
06532001;Aßlar;5844;3306;2359;16;163
06532002;Bischoffen;1468;1083;297;12;76
06532003;Braunfels;5279;3147;1877;39;216
06532004;Breitscheid, Hess;1898;1380;430;9;79
06532005;Dietzhölztal;2678;1782;723;45;128
06532006;Dillenburg;10459;6039;3984;31;405
06532007;Driedorf;2297;1650;507;61;79
06532008;Ehringshausen;4107;2706;1254;9;138
06532009;Eschenburg;4202;3098;960;26;118
06532010;Greifenstein;3101;2222;662;87;130
06532011;Haiger;8141;5336;2431;20;354
06532012;Herborn, Hess;9172;5446;3400;22;304
06532013;Hohenahr;2199;1541;545;34;79
06532014;Hüttenberg;4452;2800;1488;3;161
06532015;Lahnau;3842;2188;1511;6;137
06532016;Leun;2564;1655;776;12;121
06532017;Mittenaar;2147;1583;455;0;109
06532018;Schöffengrund;2721;1994;625;6;96
06532019;Siegbach;1196;908;237;9;42
06532020;Sinn;2823;1811;916;9;87
06532021;Solms;5922;3879;1838;9;196
06532022;Waldsolms;2234;1516;575;27;116
06532023;Wetzlar;24113;10191;12993;48;881
06533001;Beselich;2373;1594;645;9;125
06533002;Brechen;2966;1939;889;3;135
06533003;Bad Camberg;6363;3651;2444;15;253
06533004;Dornburg, Westerw;3796;2497;1094;9;196
06533005;Elbtal;1055;698;300;-;57
06533006;Elz;3420;1960;1302;12;146
06533007;Hadamar;5259;3037;2000;12;210
06533008;Hünfelden;4258;2838;1203;24;193
06533009;Limburg a.d.Lahn;15432;6653;8233;23;523
06533010;Löhnberg;1991;1345;517;13;116
06533011;Mengerskirchen;2567;1653;700;53;161
06533012;Merenberg;1396;977;346;7;66
06533013;Runkel;4292;2654;1401;22;215
06533014;Selters (Taunus);3793;2084;1479;33;197
06533015;Villmar;3212;2212;797;15;188
06533016;Waldbrunn (Westerwald);2576;1538;871;9;158
06533017;Weilburg;5816;3308;2150;34;324
06533018;Weilmünster;4129;2499;1327;31;272
06533019;Weinbach;2069;1460;468;20;121
06534001;Amöneburg;2205;1434;630;20;121
06534002;Angelburg;1450;1012;345;3;90
06534003;Bad Endbach;3549;2373;991;23;162
06534004;Biedenkopf;6023;3678;1998;16;331
06534005;Breidenbach;2796;1907;715;47;127
06534006;Cölbe;3095;1746;1227;15;107
06534007;Dautphetal;4819;3478;1119;54;168
06534008;Ebsdorfergrund;3775;2621;1015;0;139
06534009;Fronhausen;1789;1230;497;-;62
06534010;Gladenbach;5064;3340;1552;3;169
06534011;Kirchhain;7040;4229;2572;12;227
06534012;Lahntal;2912;1789;1037;3;83
06534013;Lohra;2451;1639;694;12;106
06534014;Marburg;37082;10939;25203;100;840
06534015;Münchhausen am Christenberg;1422;1024;326;13;59
06534016;Neustadt (Hessen);3788;2217;1328;13;230
06534017;Rauschenberg;1967;1315;525;32;95
06534018;Stadtallendorf;8834;4213;4239;31;348
06534019;Steffenberg;1745;1331;361;9;44
06534020;Weimar (Lahn);3099;2057;933;12;97
06534021;Wetter (Hessen);3941;2379;1390;10;162
06534022;Wohratal;972;755;174;6;37
06535001;Alsfeld;7479;3926;3225;20;308
06535002;Antrifttal;927;651;215;13;48
06535003;Feldatal;1208;876;213;34;85
06535004;Freiensteinau;1300;998;222;38;42
06535005;Gemünden (Felda);1353;939;294;38;82
06535006;Grebenau;1131;840;197;26;68
06535007;Grebenhain;2222;1497;504;91;130
06535008;Herbstein;2054;1381;511;51;111
06535009;Homberg (Ohm);3332;2018;1106;38;170
06535010;Kirtorf;1475;1063;303;3;106
06535011;Lauterbach (Hess.);6078;3449;2348;34;247
06535012;Lautertal (Vogelsberg);1082;818;190;34;40
06535013;Mücke;4212;2840;1092;60;220
06535014;Romrod;1250;857;329;12;52
06535015;Schlitz;4208;2504;1431;21;252
06535016;Schotten;4729;2960;1340;148;281
06535017;Schwalmtal, Hess;1272;934;249;19;70
06535018;Ulrichstein;1564;1062;257;138;107
06535019;Wartenberg, Hess;1759;1154;518;12;75
06611000;Kassel, krsfr. Stadt;99739;26277;70199;152;3111
06631001;Bad Salzschlirf;1426;662;619;15;130
06631002;Burghaun;2930;1897;857;12;164
06631003;Dipperz;1462;876;524;12;50
06631004;Ebersburg;1985;1256;588;34;107
06631005;Ehrenberg (Rhön);1123;788;254;32;49
06631006;Eichenzell;4811;2889;1728;6;188
06631007;Eiterfeld;3034;2214;621;50;149
06631008;Flieden;3930;2379;1284;19;248
06631009;Fulda;30361;10345;18838;56;1122
06631010;Gersfeld (Rhön);2633;1500;875;50;208
06631011;Großenlüder;3749;2411;1151;6;181
06631012;Hilders;2258;1330;640;141;147
06631013;Hofbieber;2672;1781;685;60;146
06631014;Hosenfeld;2014;1420;486;15;93
